statefp,cd115fp,affgeoid,id,state,fr,abr,elu2016,elu,name,percent-dem,percent-rep
18,8,5001500US1808,1808,Indiana,Indiana,IN,R,,,,
18,9,5001500US1809,1809,Indiana,Indiana,IN,R,,,,
19,1,5001500US1901,1901,Iowa,Iowa,IA,R,,,,
19,2,5001500US1902,1902,Iowa,Iowa,IA,D,,,,
19,3,5001500US1903,1903,Iowa,Iowa,IA,R,,,,
19,4,5001500US1904,1904,Iowa,Iowa,IA,R,,,,
20,1,5001500US2001,2001,Kansas,Kansas,KS,R,,,,
20,2,5001500US2002,2002,Kansas,Kansas,KS,R,,,,
20,3,5001500US2003,2003,Kansas,Kansas,KS,R,,,,
20,4,5001500US2004,2004,Kansas,Kansas,KS,R,,,,
21,1,5001500US2101,2101,Kentucky,Kentucky,KY,R,,,,
21,2,5001500US2102,2102,Kentucky,Kentucky,KY,R,,,,
21,3,5001500US2103,2103,Kentucky,Kentucky,KY,D,,,,
21,4,5001500US2104,2104,Kentucky,Kentucky,KY,R,,,,
21,5,5001500US2105,2105,Kentucky,Kentucky,KY,R,,,,
21,6,5001500US2106,2106,Kentucky,Kentucky,KY,R,,,,
22,1,5001500US2201,2201,Louisiana,Louisiane,LA,R,,,,
22,2,5001500US2202,2202,Louisiana,Louisiane,LA,D,,,,
22,3,5001500US2203,2203,Louisiana,Louisiane,LA,R,,,,
22,4,5001500US2204,2204,Louisiana,Louisiane,LA,R,,,,
22,5,5001500US2205,2205,Louisiana,Louisiane,LA,R,,,,
22,6,5001500US2206,2206,Louisiana,Louisiane,LA,R,,,,
23,1,5001500US2301,2301,Maine,Maine,ME,D,,,,
23,2,5001500US2302,2302,Maine,Maine,ME,R,,,,
24,1,5001500US2401,2401,Maryland,Maryland,MD,R,,,,
24,2,5001500US2402,2402,Maryland,Maryland,MD,D,,,,
24,3,5001500US2403,2403,Maryland,Maryland,MD,D,,,,
24,4,5001500US2404,2404,Maryland,Maryland,MD,D,,,,
24,5,5001500US2405,2405,Maryland,Maryland,MD,D,,,,
24,6,5001500US2406,2406,Maryland,Maryland,MD,D,,,,
