statefp,cd115fp,affgeoid,id,state,fr,abr,NYT,elu,name,percent_dem,percent_rep
37,9,5001500US3709,3709,North Carolina,Caroline du Nord,NC,N.C. 9,,,,
38,0,5001500US3800,3800,North Dakota,Dakota du nord,ND,N.D.,,,,
33,1,5001500US3301,3301,New Hampshire,New Hampshire,NH,N.H. 1,,,,
33,2,5001500US3302,3302,New Hampshire,New Hampshire,NH,N.H. 2,D,,,
34,1,5001500US3401,3401,New Jersey,New Jersey,NJ,N.J. 1,D,,,
34,10,5001500US3410,3410,New Jersey,New Jersey,NJ,N.J. 10,D,,,
34,11,5001500US3411,3411,New Jersey,New Jersey,NJ,N.J. 11,DD,,,
34,12,5001500US3412,3412,New Jersey,New Jersey,NJ,N.J. 12,D,,,
34,2,5001500US3402,3402,New Jersey,New Jersey,NJ,N.J. 2,,,,
34,3,5001500US3403,3403,New Jersey,New Jersey,NJ,N.J. 3,R,,,
34,4,5001500US3404,3404,New Jersey,New Jersey,NJ,N.J. 4,R,,,
34,5,5001500US3405,3405,New Jersey,New Jersey,NJ,N.J. 5,D,,,
34,6,5001500US3406,3406,New Jersey,New Jersey,NJ,N.J. 6,D,,,
34,7,5001500US3407,3407,New Jersey,New Jersey,NJ,N.J. 7,DD,,,
34,8,5001500US3408,3408,New Jersey,New Jersey,NJ,N.J. 8,D,,,
34,9,5001500US3409,3409,New Jersey,New Jersey,NJ,N.J. 9,D,,,
35,1,5001500US3501,3501,New Mexico,Nouveau Mexique,NM,N.M. 1,,,,
35,2,5001500US3502,3502,New Mexico,Nouveau Mexique,NM,N.M. 2,,,,
35,3,5001500US3503,3503,New Mexico,Nouveau Mexique,NM,N.M. 3,D,,,
36,1,5001500US3601,3601,New York,New York,NY,N.Y. 1,R,,,
36,10,5001500US3610,3610,New York,New York,NY,N.Y. 10,D,,,
36,11,5001500US3611,3611,New York,New York,NY,N.Y. 11,DD,,,
36,12,5001500US3612,3612,New York,New York,NY,N.Y. 12,D,,,
36,13,5001500US3613,3613,New York,New York,NY,N.Y. 13,D,,,
36,14,5001500US3614,3614,New York,New York,NY,N.Y. 14,,,,
36,15,5001500US3615,3615,New York,New York,NY,N.Y. 15,D,,,
36,16,5001500US3616,3616,New York,New York,NY,N.Y. 16,D,,,
36,17,5001500US3617,3617,New York,New York,NY,N.Y. 17,D,,,
36,18,5001500US3618,3618,New York,New York,NY,N.Y. 18,D,,,
36,19,5001500US3619,3619,New York,New York,NY,N.Y. 19,,,,
