title,deputes,raisons,id,photo,groupe,ministre,fonction,partis,detail,dep,circo,tribune,amendement,mai,premier_scrutin_presence,premier_scrutin_vote,septembre,deuxieme_scrutin_presence,deuxieme_scrutin_vote,envoye_special
M.,Frédéric Barbier,Pas de réponse.,omc_pa642724,http://www2.assemblee-nationale.fr/static/tribun/15/photos/642724.jpg,La République en marche,,,LREM,,Doubs,4e,SIGNATAIRE,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
M.,Frédéric Descrozaille,"""Les 28 et 29 mai, j'étais focalisé sur la mise en place de plusieurs projets que je conduis (l'expérimentation ""repas à l'hôpital"" et la journée que j'ai organisée à Rungis le 19 octobre dernier sur la relocalisation de filières de produits frais alimentaires en Ile-de-France), et lors de la première lecture du projet de loi EGalim, je me suis focalisé sur l'enjeu de la dérogation du secteur agricole au droit de la concurrence.""",omc_pa720862,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720862.jpg,La République en marche,,,LREM,,Val-de-Marne,1ère,,,Absent(e),Absent(e),,Contre,PRESENT,CONTRE,Contre
M.,Frédéric Petit,"""Monsieur Petit n'a pas participé au vote, il était en déplacement dans sa circonscription : la 7e des Français établis à l'étranger (Allemagne, Europe centrale et Balkans)"", justifie l'entourage du député.",omc_pa721182,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721182.jpg,Mouvement Démocrate et apparentés,,,MODEM,,Français établis hors de France,7e,,,Absent(e),Absent(e),,Absent(e),,,Contre
M.,Frédéric Reiss,Pas de réponse.,omc_pa266776,http://www2.assemblee-nationale.fr/static/tribun/15/photos/266776.jpg,Les Républicains,,,LR,,Bas-Rhin,8e,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
Mme,Frédérique Dumas,Pas de réponse.,omc_pa721194,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721194.jpg,"UDI, Agir et Indépendants",,,LREM,,Hauts-de-Seine,13e,SIGNATAIRE,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
Mme,Frédérique Lardet,"""Concernant l'absence aux votes, il est bien souvent très difficile de connaître le jour et l'heure exacte de passage de chaque amendement. J'avais, lors du vote de ces amendements, d'autres obligations avec des auditions que je réalisais sur d'autres sujets législatifs.""",omc_pa721434,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721434.jpg,La République en marche,,,LREM,,Haute-Savoie,2e,,,Absent(e),Absent(e),,Absent(e),,,Contre
Mme,Frédérique Meunier,Pas de réponse.,omc_pa719272,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719272.jpg,Les Républicains,,,LR,,Corrèze,2e,,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
Mme,Frédérique Tuffnell,"""Je ne savais pas que l'amendement allait passer. Impossible de suivre, pour une personne normale, l'ordre de passage. Les amendements sont numérotés et compte-tenu du nombre d'amendements, c'est impossible.""",omc_pa719092,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719092.jpg,La République en marche,,,LREM,,Charente-Maritime,2e,,,Absent(e),Absent(e),,Absent(e),,,Pour
M.,Gabriel Serville,"""Le vote a eu lieu tard dans la nuit du vendredi au samedi 28 au 29 mai, après une décision, à près d'une heure du matin du président de l'Assemblée nationale de prolonger la séance, contrairement à ce qui avait été annoncé plus tôt dans la soirée. Gabriel Serville était présent jusqu'à minuit en séance et a quitté l'Hémicycle sans se douter de cette prolongation et que l'on procéderait à l'analyse des amendements sur l'interdiction des neonicotinoïdes et du glyphosate"", justifie l'entourage du député.",omc_pa610667,http://www2.assemblee-nationale.fr/static/tribun/15/photos/610667.jpg,Gauche démocrate et républicaine,,,PCF,,Guyane,1ère,,,Absent(e),Absent(e),,Absent(e),,,Pour
M.,Gaël Le Bohec,Pas de réponse.,omc_pa719728,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719728.jpg,La République en marche,,,LREM,,Ille-et-Vilaine,4e,SIGNATAIRE,,Absent(e),Absent(e),,Absent(e),,,Pas de réponse
