title,deputes,raisons,id,photo,groupe,ministre,fonction,partis,detail,dep,circo,tribune,amendement,mai,premier_scrutin_presence,premier_scrutin_vote,septembre,deuxieme_scrutin_presence,deuxieme_scrutin_vote,envoye_special
M.,Éric Coquerel,"Nous n'avions en effet pas prévu un prolongement de séance jusqu'à 2h du matin ce jour, décidé vers 1h du matin par M. De Rugy. Nous ne sommes un groupe constitué que de 17 parlementaires : il était très difficile humainement de tenir le calendrier infernal imposé par la majorité à ce moment avec beaucoup de parlementaires du groupe présents à cette heure.",omc_pa721202,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721202.jpg,La France insoumise,,,LFI,,Seine-Saint-Denis,1.0,,,Absent,Absent,,Pour,PRESENT,POUR,Pour
Mme,Sabine Rubin,"Nous pensions que le vote sur le glyphosate tomberait le mardi, et j'étais organisée au regard de cette agenda pour assurer ma présence en hémicycle. Mais le président De Rugy a fait le choix à 1h du matin de proroger la séance jusqu'à 2h, ne nous laissant pas la possibilité de mettre en place un système de procuration.",omc_pa721226,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721226.jpg,La France insoumise,,,LFI,,Seine-Saint-Denis,9.0,,,Absent,Absent,,Contre,PRESENT,CONTRE,Pour
M.,Xavier Paluszkiewicz,Obligations Professionnelles,omc_pa720402,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720402.jpg,La République en Marche,,,LREM,,Meurthe-et-Moselle,3.0,,,Absent,Absent,,Absent,,,Contre
M.,Meyer Habib,"Pendant la campagne des présidentielles et législatives, les candidats ont dénoncé une surrèglementation française par rapport aux dispositions normatives européennes. La campagne est derrière nous mais les vieilles habitudes reprennent. Toute interdiction passe, selon moi, par l'échelon communautaire avec une application simultanée. Pour cette raison, je n'ai pas pris part aux votes relatifs au glyphosate.",omc_pa695100,http://www2.assemblee-nationale.fr/static/tribun/15/photos/695100.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,Français établis hors de France,8.0,,,Absent,Absent,,Absent,,,Pas de réponse
M.,Ugo Bernalicis,"Personnellement, j'étais en circonscription cette nuit-là mais si François De Rugy n'avait pas procédé comme cela, le vote aurait eu lieu à 16h30 le mardi et presque tous les députés auraient été présents. Cette manœuvre de De Rugy était délibérée pour éviter un débat large au moment où la majorité En Marche était divisée sur ce sujet. Monsieur Bernalicis était absent lors du vote du 14 septembre car en déplacement à Cuba dans le cadre de son travail parlementaire. Depuis Cuba, pays sans pesticide, monsieur Bernalicis a souhaité justement s'exprimer sur ce sujet si important",omc_pa720430,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720430.jpg,La France insoumise,,,LFI,,Nord,2.0,,,Absent,Absent,,Absent,,,Pour
Mme,Fadila Khattabi,"Pour ce qui est du 28 mai dernier, Mme Khattabi n'a pu être présente dans l'hémicycle car elle avait pris des engagements dans sa circonscription.",omc_pa719186,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719186.jpg,La République en Marche,,,LREM,,Côte-d'Or,3.0,,,Absent,Absent,,Pour,PRESENT,POUR,Pour
Mme,Laurence Trastour-Isnart,"Pour la nuit du 28/05 au 29/05, je suis arrivée à Orly à 22h15, par le vol au départ de Nice. Je n'ai pas reçu d'alerte m'informant des débats de nuit. Si tel avait été le cas et eu égard de l'importance des débats, je me serais rendue en séance car je suis habituée aux débats de nuit. Pour la nuit du 14/09 au 15/09,  une cérémonie de jumelage (45ème anniversaire) m'a obligée à être en circonscription, ma présence était nécessaire. En effet, j'avais assuré l'ensemble des préparatifs de cet événement. J'étais en charge de cette délégation au sein de ma commune ""Cagnes-sur-Mer"" avant d'être élue députée en juin 2017.",omc_pa718780,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718780.jpg,Les Républicains,,,LR,,Alpes-Maritimes,6.0,,,Absent,Absent,,Absent,,,Pour
M.,Éric Bothorel,Pour le 28 mai : je ne savais pas que l'amendement passerait cette nuit-là. J'étais en séance jusqu'à 00h45 et il était anticipé que l'amendement passerait le lendemain. Pour le 14 septembre : j'avais d'autres obligations liées au mandat de député,omc_pa642695,http://www2.assemblee-nationale.fr/static/tribun/15/photos/642695.jpg,La République en Marche,,,LREM,,Côtes-d'Armor,5.0,,,Absent,Absent,,Absent,,,Contre
Mme,Elsa Faucillon,"Pour le premier scrutin comme pour le deuxième, il n'était pas possible pour nous de savoir précisément à l'avance quand l'amendement sur le glyphosate arriverait en discussion. Étant donné que les deux ont eu lieu en pleine nuit, et que nous nous relayons avec mes collègues du groupe communiste pour les séances de nuit (nous ne sommes que 16, dont 5 ultra-marins plus rarement présents), je n'avais pas prévu de siéger cette nuit là : c'est pourquoi je n'ai pas participé au vote.",omc_pa721896,http://www2.assemblee-nationale.fr/static/tribun/15/photos/721896.jpg,Gauche démocrate et républicaine,,,PCF,,Hauts-de-Seine,1.0,,,Absent,Absent,,Absent,,,Pour
M.,Rémy Rebeyrotte,"Pour le second vote, j'étais retenu en circonscription, mais j'aurais bien sur voté de la même manière…",omc_pa722398,http://www2.assemblee-nationale.fr/static/tribun/15/photos/722398.jpg,La République en Marche,,,LREM,,Saône-et-Loire,3.0,,,Contre,Présent,Contre,Absent,,,Contre
M.,Bertrand Pancher,"Pour le vote du 28 mai, j'avais des engagements très tôt le lendemain matin qui m'ont malheureusement contraint à quitter l'hémicycle avant la fin des débats. Concernant le vote du 14 septembre, j'étais retenu dans ma circonscription par différentes réunions et rdv le vendredi et le samedi m'empêchant de revenir sur Paris pour la séance de nuit.",omc_pa333421,http://www2.assemblee-nationale.fr/static/tribun/15/photos/333421.jpg,Libertés et Territoires,,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,Meuse,1.0,,,Absent,Absent,,Absent,,,Contre
M.,Brahim Hammouche,"Pour ma part, j'étais retenu dans ma circonscription pour des obligations à la fois liées à mon mandat et à ma vie familiale.",omc_pa720326,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720326.jpg,Mouvement Démocrate et apparentés,,,MODEM,,Moselle,8.0,,,Absent,Absent,,Absent,,,Pour
M.,Éric Diard,"Pour mon absence en première lecture, le vote s'est déroulé en catimini à 2h du matin, alors que la séance finit normalement à 1h.",omc_pa267440,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267440.jpg,Les Républicains,,,LR,,Bouches-du-Rhône,12.0,,,Absent,Absent,,Pour,PRESENT,POUR,Pour
M.,Hervé Saulignac,"Premièrement, je ne suis pas membre de la Commission des Affaires Economiques qui a examiné ce texte (je suis membre de la commission des Lois) et donc je n'ai pas eu à le suivre. Deuxièmement, je n'étais pas de permanence lors du passage de ce texte en séance. Troisièmement, je ne peux anticiper le passage d'un amendement parmi des milliers et sauter dans un métro nuitamment pour aller appuyer sur le bouton. Il me faut 8 heures aller-retour pour me rendre à l'Assemblée depuis mon domicile. Seuls des Députés de permanence, ou bien ceux qui suivaient ce texte pour le compte de leur groupe politique ou bien encore des Députés Franciliens qui peuvent se rendre à l'Assemblée au pied levé à 2 heures du matin, dans la nuit de vendredi à samedi, pouvaient ou devaient être présents.",omc_pa340343,http://www2.assemblee-nationale.fr/static/tribun/15/photos/340343.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Ardèche,1.0,,,Absent,Absent,,Absent,,,Pour
M.,Guillaume Garot,Présent aux deux votes.,omc_pa333285,http://www2.assemblee-nationale.fr/static/tribun/15/photos/333285.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Mayenne,1.0,,,Pour,Présent,Pour,Pour,PRESENT,POUR,Pour
M.,Jean François Mbaye,Présent aux deux votes.,omc_pa720870,http://www2.assemblee-nationale.fr/static/tribun/15/photos/720870.jpg,La République en Marche,,,LREM,,Val-de-Marne,2.0,,,Contre,Présent,Contre,Pour,PRESENT,POUR,Pour
M.,Jean-Claude Leclabart,Présent aux deux votes.,omc_pa722228,http://www2.assemblee-nationale.fr/static/tribun/15/photos/722228.jpg,La République en Marche,,,LREM,,Somme,4.0,,,Contre,Présent,Contre,Contre,PRESENT,CONTRE,Contre
M.,Jean-Jacques Bridey,Présent aux deux votes.,omc_pa672,http://www2.assemblee-nationale.fr/static/tribun/15/photos/672.jpg,La République en Marche,,,LREM,,Val-de-Marne,7.0,,,Contre,Présent,Contre,Contre,PRESENT,CONTRE,Contre
M.,Jean-Luc Fugit,Présent aux deux votes.,omc_pa722366,http://www2.assemblee-nationale.fr/static/tribun/15/photos/722366.jpg,La République en Marche,,,LREM,,Rhône,11.0,SIGNATAIRE,SIGNATAIRE,Pour,Présent,Pour,Contre,PRESENT,CONTRE,Ne veut pas répondre
