title,deputes,raisons,id,photo,groupe,ministre,fonction,partis,detail,dep,circo,tribune,amendement,mai,premier+AF8-scrutin+AF8-presence,premier+AF8-scrutin+AF8-vote,septembre,deuxieme+AF8-scrutin+AF8-presence,deuxieme+AF8-scrutin+AF8-vote,envoye+AF8-special
Mme,Anne Genetet,Pas de r+AOk-ponse.,omc+AF8-pa721024,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/721024.jpg,La R+AOk-publique en marche,,,LREM,,Fran+AOc-ais +AOk-tablis hors de France,11e,,,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
Mme,Anne+AC0-Christine Lang,Pas de r+AOk-ponse.,omc+AF8-pa643205,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/643205.jpg,La R+AOk-publique en marche,,,LREM,,Paris,10e,,,Contre,Pr+AOk-sent,Contre,Absent(e),,,Pas de r+AOk-ponse
Mme,Anne+AC0-France Brunet,Pas de r+AOk-ponse.,omc+AF8-pa720116,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/720116.jpg,La R+AOk-publique en marche,,,LREM,,Loire+AC0-Atlantique,3e,,,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
Mme,Anne+AC0-Laure Cattelot,Pas de r+AOk-ponse.,omc+AF8-pa720520,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/720520.jpg,La R+AOk-publique en marche,,,LREM,,Nord,12e,,,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
Mme,Anne+AC0-Laurence Petel,+ACI-+ACIAIg-En tant que d+AOk-put+AOk-e investie sur le sujet agricole depuis le d+AOk-but de la mandature, j'ai suivi tous les d+AOk-bats, en commission et dans l'H+AOk-micycle, except+AOk- la soir+AOk-e du lundi en premi+AOg-re lecture +IBM- ce jour+AC0-l+AOA-, j'effectuais pour la journ+AOk-e un aller+AC0-retour en circonscription (qui est aussi mon lieu de travail +ACE-) apr+AOg-s une nuit courte de 3 heures... et un week+AC0-end pass+AOk- en s+AOk-ance. En seconde lecture, je suis m+AOo-me intervenue dans la nuit pour exprimer et expliquer le refus du groupe de voter les amendements sur le glyphosate.+ACIAIg-+ACI-,omc+AF8-pa718930,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/718930.jpg,La R+AOk-publique en marche,,,LREM,,Bouches+AC0-du+AC0-Rh+APQ-ne,14e,SIGNATAIRE,,Absent(e),Absent(e),,Contre,PRESENT,CONTRE,Ne veut pas r+AOk-pondre
Mme,Annie Chapelier,Pas de r+AOk-ponse.,omc+AF8-pa719448,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/719448.jpg,La R+AOk-publique en marche,,,LREM,,Gard,4e,SIGNATAIRE,,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
Mme,Annie Genevard,Pas de r+AOk-ponse.,omc+AF8-pa605991,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/605991.jpg,Les R+AOk-publicains,,,LR,,Doubs,5e,,,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
Mme,Annie Vidal,Pas de r+AOk-ponse.,omc+AF8-pa722102,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/722102.jpg,La R+AOk-publique en marche,,,LREM,,Seine+AC0-Maritime,2e,,,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
M.,Anthony Cellier,Pas de r+AOk-ponse.,omc+AF8-pa719440,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/719440.jpg,La R+AOk-publique en marche,,,LREM,,Gard,3e,,,Absent(e),Absent(e),,Absent(e),,,Pas de r+AOk-ponse
M.,Antoine Herth,Pas de r+AOk-ponse.,omc+AF8-pa267355,http://www2.assemblee+AC0-nationale.fr/static/tribun/15/photos/267355.jpg,+ACI-UDI, Agir et Ind+AOk-pendants+ACI-,,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,Bas+AC0-Rhin,5e,,,Contre,Pr+AOk-sent,Contre,Absent(e),,,Pas de r+AOk-ponse
