title,deputes,id,photo,groupe,ministre,fonction,partis,detail,dep,circo,tribune,amendement,premier_scrutin_presence,premier_scrutin_vote,deuxieme_scrutin_presence,deuxieme_scrutin_vote,envoye_special
M.,Bernard Perrut,omc_pa2377,http://www2.assemblee-nationale.fr/static/tribun/15/photos/2377.jpg,Les Républicains,,,LR,,Rhône,9,,,,,,,
M.,Jean-Pierre Pont,omc_pa2449,http://www2.assemblee-nationale.fr/static/tribun/15/photos/2449.jpg,La République en Marche,,,LREM,,Pas-de-Calais,5,,,,,,,NE VEUT PAS REPONDRE
M.,Didier Quentin,omc_pa2492,http://www2.assemblee-nationale.fr/static/tribun/15/photos/2492.jpg,Les Républicains,,,LR,,Charente-Maritime,5,,,,,,,
M.,Jean-Luc Reitzer,omc_pa2529,http://www2.assemblee-nationale.fr/static/tribun/15/photos/2529.jpg,Les Républicains,,,LR,,Haut-Rhin,3,,,,,,,POUR
M.,Laurent Furst,omc_pa266774,http://www2.assemblee-nationale.fr/static/tribun/15/photos/266774.jpg,Les Républicains,,,LR,,Bas-Rhin,6,,,,,,,
M.,Frédéric Reiss,omc_pa266776,http://www2.assemblee-nationale.fr/static/tribun/15/photos/266776.jpg,Les Républicains,,,LR,,Bas-Rhin,8,,,,,,,
M.,Pierre Morel-À-L'Huissier,omc_pa266788,http://www2.assemblee-nationale.fr/static/tribun/15/photos/266788.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,Lozère,1,,,,,,,
M.,Jean-Yves Bony,omc_pa266793,http://www2.assemblee-nationale.fr/static/tribun/15/photos/266793.jpg,Les Républicains,,,LR,,Cantal,2,,,Présent,Contre,PRESENT,CONTRE,CONTRE
M.,Philippe Gosselin,omc_pa266797,http://www2.assemblee-nationale.fr/static/tribun/15/photos/266797.jpg,Les Républicains,,,LR,,Manche,1,,,,,,,
M.,Vincent Rolland,omc_pa266808,http://www2.assemblee-nationale.fr/static/tribun/15/photos/266808.jpg,Les Républicains,,,LR,,Savoie,2,,,,,,,
M.,Yannick Favennec Becot,omc_pa267042,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267042.jpg,Libertés et Territoires,,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,Mayenne,3,,,,,,,POUR
M.,Sébastien Huyghe,omc_pa267200,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267200.jpg,Les Républicains,,,LR,,Nord,5,,,,,,,
M.,Jean-Marie Sermier,omc_pa267204,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267204.jpg,Les Républicains,,,LR,,Jura,3,,,,,,,
M.,Christophe Bouillon,omc_pa267233,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267233.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,Seine-Maritime,5,,,,,PRESENT,POUR,POUR
M.,Stéphane Demilly,omc_pa267241,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267241.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,Somme,5,,,,,,,
Mme,Bérengère Poletti,omc_pa267260,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267260.jpg,Les Républicains,,,LR,,Ardennes,1,,,,,,,
M.,Jean-Pierre Door,omc_pa267289,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267289.jpg,Les Républicains,,,LR,,Loiret,4,,,Présent,Contre,,,
M.,André Chassaigne,omc_pa267306,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267306.jpg,Gauche démocrate et républicaine,,Président,PCF,,Puy-de-Dôme,5,,,,,PRESENT,POUR,POUR
M.,Jean-Carles Grelier,omc_pa267318,http://www2.assemblee-nationale.fr/static/tribun/15/photos/267318.jpg,Les Républicains,,,LR,,Sarthe,5,,,,,,,
